"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00050940","ENROLLED","V1","2","2","4","1","1","3","2","1","3","4","1","4","1","1","1","4","1","4","4","4","1","1","1","1","4","1","1","4","1","4","1","1","4","1","4","1","1","1","1","4","4","1","4","1","1","2","1","4","1","1","1","4","4","4","4","1","1","3","4","41","29","17","35","29","151"
"A00037111","Adult- Age 22-59","V1","1","4","4","1","4","1","4","4","4","4","4","4","4","4","4","1","4","4","3","4","4","4","4","1","4","4","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","1","2","4","4","4","4","1","2","4","4","4","4","1","4","1","4","4","4","12","19","15","15","14","75"
"A00039820","Adult- Age 22-59","V1","4","4","3","2","4","2","3","3","3","4","2","3","3","2","3","2","4","2","3","4","2","4","3","3","4","2","2","2","3","4","2","2","2","3","4","3","2","2","3","4","2","2","2","4","4","3","3","2","2","4","3","2","4","2","4","2","3","4","3","19","24","22","30","17","112"
"A00051455","Older Adult- Age 65-85","V1","2","4","3","2","4","1","4","4","3","4","1","4","4","2","4","1","4","4","2","4","1","4","4","2","4","4","1","1","4","4","4","1","1","4","4","4","2","2","2","4","3","1","1","4","4","4","4","2","2","4","2","4","4","3","4","4","4","4","4","18","15","16","14","14","77"
"A00061711","ONE_DAY- Age 22-59","VA","2","3","3","1","4","1","3","2","4","4","1","3","3","3","4","2","4","2","2","4","2","4","3","2","3","2","2","1","3","4","2","1","2","3","4","2","1","2","3","4","4","1","2","3","4","2","4","2","2","4","3","2","4","2","4","2","2","4","4","21","19","15","31","17","103"
"A00062210","ONE_DAY","VA","1","4","3","1","4","1","4","2","4","4","4","4","2","1","4","2","4","2","1","4","3","4","3","3","4","4","1","2","4","4","4","1","1","4","4","4","1","2","3","4","3","1","2","4","4","2","4","2","2","4","4","2","4","1","4","3","2","4","4","13","22","12","26","16","89"
"A00050721","Adult- Age 22-59","V1","1","4","2","2","4","1","4","2","3","4","1","2","1","3","4","2","3","1","3","4","3","4","2","2","4","4","2","3","3","4","2","3","3","4","3","3","2","2","4","4","1","2","2","4","4","3","2","3","3","3","2","1","4","2","4","1","4","3","4","20","24","24","37","16","121"
"A00039846","Adult- Age 22-59","V1","4","4","2","2","4","1","2","2","3","4","1","4","4","1","4","1","4","4","1","4","1","4","4","2","1","4","1","1","2","4","2","1","1","4","3","4","1","1","3","4","4","1","1","4","4","4","4","2","2","4","4","4","4","2","4","4","4","4","4","18","16","13","18","18","83"
"A00040757","Adult- Age 22-59","V1","2","4","1","1","4","1","4","2","4","4","1","4","2","2","4","1","4","1","1","4","2","4","2","2","4","2","1","1","4","4","2","1","1","3","4","2","1","2","4","4","2","1","2","4","4","1","4","1","1","4","4","1","4","1","4","1","4","4","4","13","15","12","41","14","95"
"A00058144","ENROLLED","V1","2","3","3","2","4","2","1","3","3","4","3","3","2","1","3","2","2","2","2","4","1","3","3","1","4","3","2","2","3","4","2","2","2","3","4","3","1","2","2","4","3","2","2","3","4","3","3","2","2","3","3","1","3","2","3","1","2","3","3","28","22","17","31","21","119"
"A00059074","ENROLLED","V1","4","4","2","2","4","2","1","2","3","3","2","2","2","3","4","1","2","2","3","4","2","4","3","2","3","4","1","2","2","4","3","2","2","3","4","4","1","3","2","4","4","2","2","3","4","4","4","2","2","4","2","4","4","2","4","2","2","2","4","30","24","19","24","18","115"
"A00051678","Older Adult- Age 65-85","V1","1","4","3","3","4","1","2","2","2","4","2","2","3","1","4","1","3","2","2","4","2","2","4","2","4","3","2","1","2","4","2","2","1","2","4","1","1","1","3","4","4","1","1","4","4","4","3","1","1","4","2","3","4","2","4","1","2","4","4","27","13","19","28","16","103"
"A00033752","Older Adult- Age 65-85","V1","1","4","4","2","4","2","2","3","3","4","1","4","3","1","4","1","4","2","2","4","2","3","4","2","4","3","2","2","3","4","4","1","2","4","4","4","2","1","4","4","4","2","2","4","4","3","3","2","2","4","4","2","3","2","4","3","3","4","4","17","18","18","21","16","90"
"A00051063","Adult-Age 18-21","V1","2","4","3","1","4","1","2","4","3","4","2","2","3","2","4","2","4","2","2","4","2","4","4","1","4","2","2","1","4","4","2","1","2","3","4","3","2","2","3","4","3","2","2","4","4","2","4","2","2","4","2","2","4","2","4","2","3","3","4","22","20","16","28","15","101"
"A00037120","Older Adult- Age 65-85","V1","2","4","1","1","4","3","4","1","4","4","2","4","4","1","4","3","4","2","2","4","2","4","1","2","4","1","1","1","4","4","2","1","1","4","4","2","1","1","3","4","1","1","2","4","4","2","4","1","1","4","4","1","4","2","4","1","4","4","4","14","19","12","41","14","100"
"A00028522","Older Adult- Age 65-85","V1","1","4","3","2","4","2","4","3","3","4","2","2","2","2","4","1","3","3","2","4","1","4","3","2","3","3","2","2","3","4","3","2","2","3","4","4","3","2","3","3","4","3","2","3","3","4","3","2","2","3","2","4","3","1","3","3","3","2","3","23","19","22","21","22","107"
"A00058667","ENROLLED","V1","4","3","2","2","4","2","2","4","4","3","1","4","3","2","4","2","2","2","3","3","3","3","2","2","4","3","2","3","4","4","2","3","2","4","4","4","1","3","3","4","2","2","2","4","4","2","3","2","3","4","3","1","4","2","4","2","2","2","4","23","27","20","31","18","119"
"A00039974","Older Adult- Age 60-64","V1","2","4","4","1","4","2","1","3","3","4","2","3","3","2","4","2","4","4","1","4","2","4","4","2","4","4","1","1","3","4","4","1","2","3","4","4","1","1","4","4","4","1","1","3","4","4","4","1","2","4","3","4","4","3","4","4","2","4","4","22","18","13","14","16","83"
"A00040151","Adult- Age 22-59","V1","3","3","2","2","3","2","3","3","2","3","2","2","3","2","3","2","2","4","2","3","2","2","4","4","3","4","3","2","3","3","3","4","2","2","3","4","3","2","3","3","3","3","2","3","3","4","2","2","2","3","2","4","3","3","3","4","2","2","3","31","23","29","18","29","130"
"A00040628","ONE_DAY","VA-REP","2","4","1","1","4","1","2","4","4","4","1","4","1","2","4","2","4","1","2","4","3","4","2","1","4","2","1","1","4","4","2","2","2","4","4","1","1","2","3","4","2","1","2","4","4","1","3","1","1","4","4","1","4","1","4","2","4","4","4","15","18","14","40","14","101"
"A00060575","Older Adult- Age 65-85","V1","4","4","2","2","3","2","4","2","4","3","3","3","3","2","3","3","3","4","4","4","3","3","3","2","3","4","2","2","3","3","3","3","2","3","3","4","1","1","2","2","3","1","1","3","3","4","3","1","1","3","3","4","3","2","2","4","4","4","4","22","23","20","20","27","112"
"A00065865","ONE_DAY-Age 65-85","VA","1","3","2","2","4","2","4","3","4","2","2","4","2","2","4","1","4","2","3","4","2","4","4","2","4","4","2","2","4","4","3","2","2","4","4","2","2","2","3","3","2","1","2","3","4","2","4","1","2","3","2","3","4","2","3","3","3","4","2","18","19","18","28","22","105"
"A00058644","Older Adult- Age 65-85","V1","3","3","2","2","4","3","3","2","3","3","2","3","4","3","3","2","4","2","3","3","2","4","2","2","4","3","3","2","4","4","3","2","2","3","4","2","2","3","3","4","3","2","2","4","4","2","3","3","3","4","4","3","4","2","3","2","4","4","4","18","27","23","30","18","116"
"A00061387","ONE_DAY- Age 22-59","VA","2","2","3","3","1","2","2","3","2","2","1","2","2","2","4","2","3","1","4","3","1","3","2","4","3","2","4","2","3","3","2","3","2","3","3","1","3","2","2","3","3","3","2","3","3","2","2","2","2","3","3","1","3","3","3","1","2","2","2","30","20","32","37","32","151"
"A00031145","Adult-Age 18-21","V1","3","3","2","2","2","2","2","1","3","2","3","2","3","2","3","2","2","2","2","2","3","2","2","3","2","2","3","2","3","2","3","2","3","2","3","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","2","2","3","2","2","2","2","2","2","33","25","23","36","40","157"
"A00040640","Adult- Age 22-59","V1","2","3","4","3","4","2","3","4","4","4","3","3","3","1","4","2","4","2","3","4","2","3","2","3","4","2","1","1","3","4","2","2","2","3","4","2","2","2","3","4","3","1","2","2","4","1","2","2","2","4","2","1","4","2","3","2","2","3","2","25","22","20","32","19","118"
"A00066812","ONE_DAY","VA","1","4","1","1","4","1","4","3","4","4","2","3","1","1","4","2","4","1","2","4","1","4","2","2","4","1","1","2","2","4","2","1","2","4","4","1","1","2","3","3","2","2","1","4","4","2","3","2","2","2","3","1","3","1","4","2","3","3","2","18","18","14","41","21","112"
"A00037115","Adult- Age 22-59","V1","2","4","2","1","1","1","2","2","4","3","1","3","1","1","3","1","4","1","1","2","2","4","2","1","3","3","1","1","4","4","3","1","1","3","4","3","1","1","2","4","3","1","1","4","4","1","4","1","2","4","3","1","4","3","4","1","2","3","4","22","14","10","37","24","107"
"A00053647","Adult- Age 22-59","V1","1","3","3","3","4","4","2","2","1","3","2","3","2","4","3","1","2","2","3","3","4","3","4","4","4","4","4","2","3","3","4","4","4","4","4","1","3","2","3","4","3","4","3","3","4","2","1","3","3","3","3","3","3","2","3","1","2","3","3","25","29","37","29","24","144"
"A00031605","Adult- Age 22-59","V1","1","4","3","2","4","2","3","2","3","4","1","3","2","2","4","1","3","2","2","4","1","2","4","3","4","3","1","1","4","4","2","1","1","3","4","3","2","1","3","4","2","1","1","4","4","2","3","1","1","3","3","1","4","2","4","2","2","4","4","21","12","18","32","17","100"
"A00065302","ONE_DAY-Age 65-85","VA","3","3","3","2","4","1","3","4","3","4","2","3","4","2","4","2","4","3","3","4","3","4","4","2","4","4","2","2","4","4","3","2","2","3","4","3","2","2","3","4","4","2","2","4","4","4","2","2","2","4","3","2","4","2","4","2","4","3","4","20","23","22","20","14","99"
"A00038158","Adult-Age 18-21","V1","1","4","1","1","4","1","4","1","4","4","4","1","4","1","4","1","4","4","2","4","2","2","1","1","4","1","1","1","1","4","1","1","1","4","4","1","1","1","4","4","1","1","1","4","4","1","4","1","1","1","1","1","4","1","4","1","1","4","4","23","15","11","42","20","111"
"A00040740","Adult- Age 22-59","V1","1","4","4","2","4","1","4","3","4","4","1","4","4","4","4","1","4","1","1","4","1","4","1","1","4","4","1","4","4","4","1","1","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","1","1","1","4","2","2","1","4","1","1","4","4","12","15","14","27","22","90"
"A00039758","Older Adult- Age 65-85","V1","2","4","2","1","4","1","3","4","4","4","1","4","3","1","4","1","4","2","1","4","1","4","3","2","4","4","1","1","3","4","2","1","1","2","4","4","1","1","3","4","3","1","1","4","4","3","4","1","1","4","2","2","4","2","3","4","2","2","3","22","12","11","24","18","87"
"A00061597","ONE_DAY- Age 22-59","VA","1","2","3","2","3","1","2","1","3","3","1","3","4","1","3","2","2","4","1","3","2","4","3","3","3","4","1","2","2","4","3","1","1","2","4","4","1","1","2","4","4","3","2","2","4","4","3","1","1","4","1","4","4","2","4","4","4","2","1","33","15","17","18","22","105"
"A00019903","Older Adult- Age 65-85","V1","1","3","4","1","3","2","4","3","3","3","2","2","4","1","3","2","4","4","1","3","2","3","2","4","3","4","1","2","2","4","4","2","2","3","3","2","2","1","3","4","4","1","2","3","2","4","4","1","1","4","2","4","3","2","3","3","4","3","1","25","18","16","18","27","104"
"A00051539","Adult- Age 22-59","V1","2","3","2","2","3","2","2","2","4","3","1","3","3","2","4","1","2","1","2","3","2","2","2","2","3","1","1","1","3","3","1","1","2","3","4","3","2","2","3","4","2","1","2","4","4","1","3","2","2","3","4","1","4","2","4","3","3","3","4","25","19","16","38","21","119"
"A00037421","Adult- Age 22-59","V1","1","4","3","1","4","1","1","4","3","4","4","4","4","1","4","1","4","4","1","4","1","3","4","4","4","4","1","1","2","4","4","1","1","4","4","4","1","1","1","4","4","1","1","2","4","4","4","1","1","4","4","4","4","1","4","4","4","4","2","23","14","14","13","16","80"
"A00063031","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00040226","Adult- Age 22-59","V1","2","4","2","1","4","1","3","2","4","4","1","3","3","2","3","1","4","3","1","4","1","4","4","1","4","4","1","1","4","4","3","2","2","4","4","4","1","1","4","4","4","1","2","4","4","4","4","1","1","4","4","4","4","1","4","4","4","4","4","14","14","12","19","15","74"
"A00044131","Adult- Age 22-59","V1","2","4","2","1","4","1","3","3","3","4","1","4","2","1","4","1","4","1","2","3","2","4","3","2","4","3","2","1","3","4","2","1","1","2","4","2","1","2","2","4","2","1","2","4","4","1","4","1","1","4","3","1","3","1","3","3","3","4","4","19","15","14","35","18","101"
"A00063424","ONE_DAY- Age 22-59","VA","2","3","3","3","4","2","3","4","3","4","2","3","2","2","4","2","4","2","2","4","3","4","3","3","4","4","3","2","3","4","3","4","2","3","4","3","2","2","3","4","3","3","2","3","4","3","2","3","2","4","3","3","4","3","4","2","3","3","4","23","24","27","25","15","114"
"A00050912","Adult- Age 22-59","V1","2","4","2","1","4","2","4","2","4","4","1","3","1","3","4","2","3","1","2","3","3","4","2","1","4","4","2","2","4","4","1","2","2","3","4","1","1","2","2","4","2","2","2","3","4","1","2","2","2","4","3","1","4","2","4","1","2","4","3","20","22","18","41","18","119"
"A00052237","Child Age 16-17","V4","4","4","1","1","4","1","2","1","3","4","3","3","2","3","4","2","3","1","2","1","1","4","1","2","1","1","1","1","3","4","1","2","2","3","3","1","1","3","3","4","3","1","2","3","2","1","2","2","1","2","3","1","2","2","2","2","1","2","3","24","22","18","44","33","141"
"A00057786","ENROLLED","V1","3","4","1","1","4","1","2","1","3","4","2","4","2","4","4","2","4","1","3","4","3","4","1","2","4","1","1","2","2","4","1","1","1","1","4","1","1","3","3","4","2","1","2","2","4","2","4","3","2","3","1","1","4","2","4","4","2","4","4","26","24","17","42","17","126"
"A00066827","ONE_DAY","VA","2","3","1","1","4","3","1","1","3","4","1","3","3","1","4","1","4","2","1","3","1","3","2","4","4","3","2","1","4","4","2","3","1","4","4","4","1","2","2","4","3","2","1","4","4","4","3","1","1","3","4","1","4","2","4","1","1","2","3","23","15","19","33","20","110"
"A00073953","ENROLLED","VA_ALG","4","3","4","1","4","1","1","4","4","4","1","4","4","2","4","1","3","4","3","4","2","4","4","1","4","4","1","1","4","4","4","1","2","4","4","4","1","1","3","4","4","1","1","4","4","4","2","2","2","4","4","4","4","1","4","4","2","4","4","18","18","15","12","16","79"
"A00034193","Adult- Age 22-59","V1","1","1","1","1","1","2","1","1","3","3","3","2","1","1","4","2","3","1","2","3","2","1","1","3","2","1","1","2","1","3","3","1","2","2","4","3","1","1","2","2","3","1","1","1","3","3","3","2","1","4","2","1","4","2","3","1","1","1","2","40","19","15","40","31","145"
"A00044084","Child Age 16-17","V4","4","4","4","1","4","1","4","4","4","4","4","4","4","2","4","2","4","1","2","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","4","4","1","1","4","4","4","4","4","1","4","4","1","4","2","4","4","4","4","1","16","30","19","18","17","100"
"A00061204","ONE_DAY","VA","3","3","2","1","4","2","3","3","3","4","1","2","2","2","4","2","4","2","1","4","3","4","2","2","4","2","1","1","3","4","2","3","2","4","3","2","1","3","4","4","2","1","2","4","3","2","2","1","2","4","3","2","4","2","2","1","2","4","4","19","22","17","36","20","114"
"A00054622","Older Adult- Age 65-85","V1","3","3","2","1","3","1","3","1","4","3","2","4","1","1","3","2","3","4","1","3","3","4","2","3","3","4","1","1","3","4","1","1","1","3","3","4","1","2","1","3","3","1","2","3","3","4","3","2","2","3","3","4","3","2","3","3","2","3","2","24","21","13","27","29","114"
"A00044369","Older Adult- Age 65-85","V1","2","3","3","2","4","2","3","3","3","3","2","3","1","2","3","2","3","3","3","3","2","3","3","2","3","4","2","2","3","3","3","2","2","3","3","4","2","3","2","3","4","2","2","3","3","4","3","3","2","3","2","4","3","3","3","4","3","3","3","27","24","21","20","27","119"
"A00063481","ONE_DAY- Age 22-59","VA","3","4","2","2","4","2","4","4","3","4","3","4","4","4","4","2","4","1","3","4","3","4","3","2","4","4","2","2","4","4","2","2","2","3","4","4","2","3","4","4","3","2","3","4","4","2","2","3","3","4","3","1","4","2","4","3","4","4","4","15","29","24","27","14","109"
"A00027544","Adult- Age 22-59","V1","2","3","1","1","4","1","2","1","4","4","2","2","2","1","4","1","2","1","1","4","2","3","2","2","4","1","1","1","4","4","1","2","2","4","4","1","1","1","2","4","2","2","2","4","3","1","2","2","1","4","3","2","4","1","4","1","2","3","3","24","17","15","44","18","118"
"A00028177","Adult- Age 22-59","V1","3","2","1","2","3","2","2","4","3","3","2","3","2","2","3","2","3","2","2","3","2","3","2","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","2","3","3","2","2","3","2","3","2","1","3","3","3","2","2","3","3","28","27","26","40","29","150"
"A00032862","Adult- Age 22-59","V1","3","3","2","2","4","1","2","3","3","4","3","4","2","3","4","1","4","3","3","4","2","3","3","2","4","4","2","1","4","4","2","2","1","4","4","4","1","2","4","4","4","2","2","4","4","4","2","2","2","4","4","2","4","2","4","2","2","4","2","17","20","22","25","18","102"
"A00040517","Older Adult- Age 60-64","V1","1","3","2","3","4","2","2","2","2","4","1","3","1","1","4","2","2","2","2","4","2","1","4","4","4","1","3","1","2","4","2","3","3","1","2","1","3","1","3","4","2","3","2","2","4","1","1","2","2","2","2","1","3","2","4","2","2","3","3","33","19","29","39","22","142"
"A00054656","Older Adult- Age 60-64","V1","2","4","2","2","4","2","2","3","4","4","2","2","2","3","4","2","4","1","2","4","4","4","2","2","4","3","2","2","4","4","2","2","2","4","4","2","2","2","4","4","2","2","2","4","4","1","3","2","2","1","3","2","4","3","4","2","4","4","4","19","24","20","36","17","116"
"A00056627","ENROLLED","V1","3","3","2","1","3","2","2","2","3","3","2","2","1","2","4","2","4","1","1","4","3","4","2","2","4","1","2","3","2","3","2","1","2","4","4","1","1","3","2","4","2","2","2","3","4","3","3","3","2","4","3","1","4","3","4","1","2","2","3","27","27","16","41","20","131"
"A00060362","ENROLLED","V1","1","4","2","1","4","1","4","4","4","4","4","4","2","1","4","1","4","1","2","4","2","4","4","1","4","3","1","1","4","4","4","1","1","4","4","2","1","1","4","4","3","1","1","4","4","2","4","1","1","4","4","2","4","1","4","2","4","4","4","12","15","11","29","14","81"
"A00028766","Adult-Age 18-21","V1","3","2","1","1","2","2","3","4","4","3","2","3","1","3","3","3","3","1","2","3","2","3","2","2","3","1","1","2","3","3","2","1","2","3","2","1","2","3","3","3","2","2","2","3","3","1","3","2","2","3","3","1","3","3","3","1","3","3","2","26","25","17","42","31","141"
"A00059362","Adult-Age 18-21","V1","4","1","1","1","2","3","1","4","4","4","2","2","4","3","4","2","4","1","4","4","1","4","4","2","3","4","2","1","1","4","4","4","4","4","4","4","2","1","1","4","4","2","1","1","4","4","2","2","1","4","1","1","4","3","4","4","1","1","4","37","22","24","21","20","124"
"A00040462","Adult- Age 22-59","V1","2","2","1","1","4","2","3","2","3","4","1","2","3","1","3","1","3","1","2","3","1","2","3","3","4","1","2","1","3","4","1","3","2","3","4","2","3","1","3","3","1","2","2","3","4","1","1","2","2","4","3","1","4","2","4","2","3","3","4","27","17","23","41","18","126"
"A00050795","Adult- Age 22-59","V1","2","4","2","1","4","1","4","4","4","3","1","3","1","2","4","1","2","1","2","4","1","4","2","1","4","1","1","1","2","4","2","1","1","3","4","1","1","2","4","4","2","1","1","2","4","1","3","1","1","4","3","1","4","1","4","1","4","2","4","23","13","13","41","15","105"
"A00061021","Older Adult- Age 60-64","V1","1","4","2","1","4","1","3","4","4","4","1","4","2","2","4","1","4","3","2","4","2","4","2","1","4","2","2","1","4","4","2","3","2","4","4","1","2","1","3","4","4","2","1","4","4","3","2","1","1","4","4","2","4","2","4","2","4","4","4","15","13","19","31","14","92"
"A00033011","Adult- Age 22-59","V1","2","4","2","2","4","1","2","2","3","3","3","3","3","1","3","1","3","4","1","4","2","3","2","2","3","4","1","1","4","4","2","1","1","2","4","4","1","2","2","3","3","1","1","4","4","2","3","1","1","4","2","2","4","2","4","3","2","3","4","25","16","14","27","20","102"
"A00040990","Adult- Age 22-59","V1","3","1","3","3","2","2","1","2","2","2","2","2","3","2","1","3","2","2","2","1","2","1","2","3","2","3","3","2","2","1","2","3","3","2","2","2","3","3","2","2","3","3","2","2","2","2","2","3","2","2","1","2","1","3","2","3","2","2","2","40","27","28","31","46","172"
"A00028784","Adult- Age 22-59","V1","3","2","2","2","3","2","2","2","3","3","1","3","2","1","3","2","3","2","2","3","2","3","2","2","3","2","1","2","3","4","2","2","2","3","4","4","2","2","3","4","2","2","2","4","4","2","4","2","2","2","2","2","3","2","4","2","3","2","4","27","22","17","34","23","123"
"A00037170","Adult- Age 22-59","V1","2","4","3","1","4","1","4","3","4","4","1","4","2","2","4","2","4","2","2","4","2","4","4","2","4","3","1","1","3","4","2","1","2","4","4","3","1","2","4","4","2","1","2","4","4","2","4","2","2","4","4","1","4","2","4","2","3","4","4","14","19","13","31","15","92"
"A00037117","Adult- Age 22-59","V1","2","3","1","1","3","2","2","2","3","3","2","3","2","2","3","2","2","2","2","3","2","3","2","2","3","2","2","2","3","3","2","2","2","3","3","1","2","1","2","3","2","2","2","3","3","3","3","2","2","2","3","2","3","2","3","1","3","3","2","27","21","19","38","30","135"
"A00043324","Adult- Age 22-59","V1","2","4","3","1","4","2","3","3","4","4","3","4","3","1","4","2","4","3","1","4","1","4","3","3","4","4","1","1","4","4","3","3","2","3","4","4","1","2","2","4","3","1","2","4","4","4","4","2","2","4","2","3","4","3","4","3","4","3","3","21","21","14","21","15","92"
"A00040580","Older Adult- Age 60-64","V1","2","4","1","2","4","2","4","3","4","4","1","4","3","2","4","2","4","4","2","4","2","4","4","2","4","2","2","1","4","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","2","4","1","4","4","4","4","4","12","15","15","23","14","79"
"A00037588","Adult- Age 22-59","V1","2","3","3","1","2","2","3","3","4","3","2","2","2","3","2","2","3","1","1","3","2","2","3","3","3","2","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","2","2","3","3","3","3","3","2","2","2","2","2","3","4","2","2","2","2","32","22","18","32","36","140"
"A00039943","Child Age 16-17","V5","3","4","2","2","4","2","4","3","4","4","1","4","2","3","4","2","4","2","2","3","2","2","4","2","4","4","2","2","4","4","2","2","2","4","4","3","2","2","3","4","3","2","2","4","4","4","3","3","2","4","4","2","4","2","4","4","3","4","3","16","23","20","25","17","101"
"A00073230","ENROLLED","VA_ALG","4","4","2","2","4","2","2","2","4","4","2","4","2","2","4","2","4","2","2","4","3","4","2","1","4","2","2","1","3","4","2","2","1","3","4","1","1","3","4","4","2","1","1","3","4","4","3","1","1","4","2","1","4","3","4","1","4","4","4","21","21","16","37","14","109"
"A00057203","ENROLLED","V1","4","4","2","2","3","2","2","2","3","2","1","3","3","2","3","2","3","1","2","3","3","2","1","3","3","1","2","2","3","3","1","2","2","3","3","1","2","2","3","3","1","2","3","3","3","1","3","2","2","3","3","1","3","2","3","1","2","2","3","26","25","21","44","30","146"
"A00038616","Adult- Age 22-59","V1","2","4","1","1","4","1","4","3","4","4","1","4","3","3","4","1","4","1","2","4","3","4","2","2","4","2","2","2","4","4","2","2","2","4","4","2","2","2","4","4","2","2","2","4","4","2","4","1","1","2","4","1","4","2","4","1","3","4","3","13","18","18","38","18","105"
"A00039488","Adult- Age 22-59","V1","1","4","1","1","4","1","4","2","4","3","2","2","1","1","1","1","3","1","2","3","1","1","1","2","2","1","1","2","3","4","2","1","1","3","4","1","1","1","2","4","2","1","1","1","1","4","4","1","1","1","1","1","4","1","4","1","2","3","1","29","13","12","42","32","128"
"A00028380","Older Adult- Age 60-64","V1","2","2","2","1","3","1","2","4","3","3","1","2","2","2","2","2","2","4","1","4","2","4","4","4","4","4","1","2","4","2","3","1","2","2","4","4","1","1","2","3","4","2","2","2","2","4","3","2","2","2","2","2","2","3","2","4","3","2","3","32","19","17","19","31","118"
"A00028399","Adult- Age 22-59","V1","2","3","3","2","4","2","3","4","4","3","1","4","2","3","3","2","3","3","3","4","2","4","4","2","4","4","3","3","4","4","4","2","3","4","4","4","2","1","3","4","3","2","2","4","4","4","3","2","2","4","3","2","3","3","3","4","3","2","3","21","22","22","19","20","104"
"A00028842","Adult- Age 22-59","V1","2","3","4","2","4","2","4","4","4","4","3","4","4","2","4","1","4","2","2","4","1","4","4","2","4","2","1","1","2","4","2","2","2","4","4","2","1","1","2","4","3","1","1","4","4","2","3","2","1","1","2","1","2","3","4","2","2","2","4","23","17","16","28","21","105"
"A00038805","Older Adult- Age 65-85","V1","2","3","2","1","3","2","1","4","3","4","2","3","3","1","4","1","2","3","1","4","2","3","3","3","4","2","2","1","3","4","2","2","1","2","4","4","2","2","3","4","4","1","2","4","4","3","1","2","2","4","2","1","3","3","4","1","2","4","4","28","19","19","28","18","112"
"A00035036","Adult- Age 22-59","V1","4","4","1","1","4","1","1","4","2","4","4","1","1","1","4","1","4","4","1","4","1","4","2","2","4","4","1","1","4","4","1","1","1","2","4","4","1","2","2","4","4","1","1","4","4","4","3","1","1","4","4","2","4","1","4","1","4","4","4","22","18","14","28","14","96"
"A00037375","Adult- Age 22-59","V1","2","4","3","2","4","2","2","2","2","3","2","2","2","2","3","2","2","3","2","2","2","3","2","3","3","3","3","3","2","2","3","2","2","2","4","3","2","2","2","4","3","2","2","3","3","3","2","3","2","3","2","4","4","4","3","2","2","4","2","31","24","24","27","28","134"
"A00063450","ONE_DAY- Age 18-21","VA","2","3","1","2","2","1","2","2","4","3","1","4","1","1","1","2","2","1","2","4","1","4","1","2","3","2","1","2","3","1","2","1","1","1","2","1","2","1","2","4","1","1","2","2","1","2","2","1","1","4","3","1","1","2","2","1","3","1","1","30","15","16","44","38","143"
